...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
0,14,Category:Axioms of set theory,3439807,371,50,"This category is for axioms in the <span class=""searchmatch"">language</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span>; roughly speaking, ones that &quot;talk about sets&quot;. Inclusion in this category does not necessarily",2013-03-28T06:50:55Z,theory of language,Axioms of set theory,0.7857142857142857,15
1,14,Category:Programming language researchers,13947677,405,21,"research in the fields <span class=""searchmatch"">of</span> programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>, compiler construction and program analysis. See also, Category:Programming <span class=""searchmatch"">language</span> designers",2021-06-18T00:18:21Z,theory of language,Programming language researchers,0.8205128205128205,22
2,14,Category:Theories of language,22337303,120,0,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",2017-11-16T16:13:15Z,theory of language,Theories of language,0.4545454545454546,4
3,14,Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7
4,14,Category:Academic programming languages,31005405,437,41,"Programming <span class=""searchmatch"">languages</span> influential in computer science and programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>. Some are only widely used by computer scientists and may even lack",2018-04-20T17:25:14Z,theory of language,Academic programming languages,0.8108108108108107,18
5,14,Category:Programming languages conferences,27677783,216,14,"Academic conferences in the fields <span class=""searchmatch"">of</span> programming <span class=""searchmatch"">languages</span>, programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>, and compiler design.",2015-03-31T16:15:43Z,theory of language,Programming languages conferences,0.825,23
7,14,Category:Programming languages,690571,454,48,"individual programming <span class=""searchmatch"">languages</span>. Articles about general programming <span class=""searchmatch"">language</span> topics should be moved to Category:Programming <span class=""searchmatch"">language</span> topics. Top 0–9 A B",2021-10-10T00:05:17Z,theory of language,Programming languages,0.75,11
0,14,Category:Logic literature,22410600,232,4,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",2019-09-09T05:59:48Z,theory of literature,Logic literature,0.6086956521739131,8
2,14,Category:Ethics literature,6283119,227,2,"<span class=""searchmatch"">Literature</span> portal",2019-08-03T18:29:53Z,theory of literature,Ethics literature,0.625,8
3,14,Category:Epistemology literature,13083243,221,2,"<span class=""searchmatch"">Literature</span> portal",2019-07-19T21:12:50Z,theory of literature,Epistemology literature,0.7,11
4,14,Category:Literary criticism,733855,671,62,"interpretation <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>. Modern literary criticism is often influenced by literary <span class=""searchmatch"">theory</span>, which is the philosophical discussion <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>'s goals and",2021-01-05T12:52:22Z,theory of literature,Literary criticism,0.8666666666666667,16
5,14,Category:Postmodern theory,704758,972,82,"as an ambiguous overarching term for skeptical interpretations <span class=""searchmatch"">of</span> culture, <span class=""searchmatch"">literature</span>, art, philosophy, economics, architecture, fiction, and literary",2021-01-08T11:16:04Z,theory of literature,Postmodern theory,0.8620689655172413,17
6,14,Category:Mathematics stubs,1676945,2765,192,"stubs: {{topology-stub}} Knot <span class=""searchmatch"">theory</span> stubs: {{knottheory-stub}} Probability stubs: {{probability-stub}} Mathematics <span class=""searchmatch"">literature</span> stubs: {{mathematics-lit-stub}}",2020-12-27T09:26:07Z,theory of literature,Mathematics stubs,0.96875,16
7,14,Category:Essays about literature,33685929,200,3,"Essays about <span class=""searchmatch"">literature</span>.",2018-07-09T08:12:59Z,theory of literature,Essays about literature,0.7,10
9,14,Category:Personality trait theorists,16146832,981,98,"influence behavior. Although trait <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> personality are currently the most dominant <span class=""searchmatch"">theories</span> in the personality <span class=""searchmatch"">literature</span>, it was the Greek philosopher",2019-11-01T10:58:47Z,theory of literature,Personality trait theorists,0.8974358974358975,20
0,14,Category:Parts of the narrative structure,28608050,226,7,"Articles about parts <span class=""searchmatch"">of</span> the <span class=""searchmatch"">narrative</span> structure.",2019-02-21T08:23:57Z,theory of narrative,Parts of the narrative structure,0.6944444444444444,20
1,14,Category:Creationism,919511,1850,190,"specific acts <span class=""searchmatch"">of</span> divine creation.&quot; For young Earth creationists, this includes a biblical literalist interpretation <span class=""searchmatch"">of</span> the Genesis creation <span class=""searchmatch"">narrative</span> and the",2021-11-15T06:56:07Z,theory of narrative,Creationism,0.96,15
2,14,Category:Creationists,1529210,1677,190,"specific acts <span class=""searchmatch"">of</span> divine creation. For young Earth creationists, this includes a biblical literalist interpretation <span class=""searchmatch"">of</span> the Genesis creation <span class=""searchmatch"">narrative</span> and the",2021-10-03T13:50:27Z,theory of narrative,Creationists,0.9615384615384616,15
4,14,Category:Metanarratives,845575,302,19,"A metanarrative is a grand overarching account or worldview, which is thought to give order to the historical record.",2020-10-02T18:12:09Z,theory of narrative,Metanarratives,0.6818181818181819,10
5,14,Category:Psychotherapy,964972,428,40,"Psychotherapy is a set <span class=""searchmatch"">of</span> techniques believed to cure or to help solve behavioral and other psychological problems in humans. The common part <span class=""searchmatch"">of</span> these techniques",2021-11-28T22:17:17Z,theory of narrative,Psychotherapy,0.962962962962963,16
0,14,Category:Meaning–text theory,34757602,189,24,"<span class=""searchmatch"">Meaning</span>–text <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theory of meaning,Meaning–text theory,0.6666666666666667,19
1,14,Category:Functionalism (social theory),36599442,228,21,"This category is for all social <span class=""searchmatch"">theories</span> and theorists related to functionalism. For other <span class=""searchmatch"">meanings</span> <span class=""searchmatch"">of</span> the word, see Functionalism (disambiguation).",2019-10-24T21:17:28Z,theory of meaning,Functionalism (social theory),0.8947368421052632,25
3,14,Category:Mathematical logic,693685,993,143,"has several <span class=""searchmatch"">meanings</span> in common usage. It originally referred to symbolic or formal logic, and then came to be associated with the study <span class=""searchmatch"">of</span> the logical",2020-04-22T19:22:12Z,theory of meaning,Mathematical logic,0.9666666666666667,15
4,14,Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> language is the branch <span class=""searchmatch"">of</span> philosophy that studies language. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic <span class=""searchmatch"">meaning</span>, reference, language",2020-04-25T17:59:38Z,theory of meaning,Philosophy of language,0.90625,13
5,14,Category:Theories of language,22337303,120,0,"Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">meaning</span> Contrastivism Conventionalism Cratylism Deconstruction",2017-11-16T16:13:15Z,theory of meaning,Theories of language,0.8620689655172413,10
0,14,Category:Set theory,693646,1016,161,"Mathematics portal Set <span class=""searchmatch"">theory</span> is any <span class=""searchmatch"">of</span> a number <span class=""searchmatch"">of</span> subtly different things in mathematics: Naive set <span class=""searchmatch"">theory</span> is the original set <span class=""searchmatch"">theory</span> developed by mathematicians",2020-04-22T19:22:50Z,theory of .,Set theory,0.6923076923076923,9
2,14,Category:Number theory,693745,682,125,"Traditionally, number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> mathematics concerned with the properties <span class=""searchmatch"">of</span> integers and many <span class=""searchmatch"">of</span> its open problems are easily understood",2020-04-25T19:13:57Z,theory of .,Number theory,0.75,12
3,14,Category:Theory of computation,3233312,465,46,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation, using",2020-01-28T20:25:57Z,theory of .,Theory of computation,0.6666666666666667,12
4,14,Category:Computability theory,30870610,615,94,"computability <span class=""searchmatch"">theory</span>, also known as recursion <span class=""searchmatch"">theory</span>, a branch <span class=""searchmatch"">of</span> mathematical logic and computer science concerned with generalizations <span class=""searchmatch"">of</span> the notion <span class=""searchmatch"">of</span> computable",2021-05-04T05:02:20Z,theory of .,Computability theory,0.8260869565217391,17
5,14,Category:Category theory,695968,340,50,"Mathematics portal Category <span class=""searchmatch"">theory</span> is a mathematical <span class=""searchmatch"">theory</span> that deals in an abstract way with mathematical structures and relationships between them",2021-02-08T12:15:49Z,theory of .,Category theory,0.6875,10
6,14,Category:Graph theory,691898,1075,146,"Mathematics portal Graph <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> mathematics that examines the properties <span class=""searchmatch"">of</span> mathematical graphs. See glossary <span class=""searchmatch"">of</span> graph <span class=""searchmatch"">theory</span> for common terms",2021-08-26T18:06:47Z,theory of .,Graph theory,0.7333333333333334,11
7,14,Category:Model theory,693979,550,71,"mathematics, model <span class=""searchmatch"">theory</span> is the study <span class=""searchmatch"">of</span> (classes <span class=""searchmatch"">of</span>) mathematical structures such as groups, fields, graphs or even models <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> using tools from",2020-04-22T19:22:34Z,theory of .,Model theory,0.7333333333333334,11
8,14,Category:Organizational theory,1030978,553,50,"pursue collective goals. <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> organizations include rational system perspective, division <span class=""searchmatch"">of</span> labor, bureaucratic <span class=""searchmatch"">theory</span>, and contingency <span class=""searchmatch"">theory</span>.",2020-12-31T18:12:12Z,theory of .,Organizational theory,0.8333333333333334,19
9,14,Category:Fringe theory,24080755,693,89,"A fringe <span class=""searchmatch"">theory</span> is an idea or a collection <span class=""searchmatch"">of</span> ideas that departs significantly from the prevailing or mainstream view. It can include work done to the",2018-01-14T16:08:10Z,theory of .,Fringe theory,0.75,12
0,14,Category:Meaning–text theory,34757602,189,24,"Meaning–<span class=""searchmatch"">text</span> <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theory of text,Meaning–text theory,0.7391304347826086,16
3,14,Category:Additive number theory,20902687,221,17,"Additive number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that studies ways to represent numbers as sums.",2013-03-27T04:38:09Z,theory of text,Additive number theory,0.8571428571428572,17
4,14,Category:The Juliana Theory members,59273456,506,10,"Members <span class=""searchmatch"">of</span> the American alternative rock band The Juliana <span class=""searchmatch"">Theory</span>.",2021-11-09T01:02:16Z,theory of text,The Juliana Theory members,0.8709677419354839,19
7,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to Literary <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of text,Literary theory,0.75,12
8,14,Category:Disciples of Gautama Buddha,32322574,203,0,"Yasa Key concepts Avidyā (Ignorance) Bardo Bodhicitta Buddha-nature Dhamma <span class=""searchmatch"">theory</span> Dharma Enlightenment Five hindrances Indriya Karma Kleshas Mental factors",2021-04-18T09:54:38Z,theory of text,Disciples of Gautama Buddha,0.9428571428571428,22
0,14,Category:Meaning–text theory,34757602,189,24,"Meaning–<span class=""searchmatch"">text</span> <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theories of text,Meaning–text theory,0.8076923076923077,15
3,14,Category:Additive number theory,20902687,221,17,"Additive number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that studies ways to represent numbers as sums.",2013-03-27T04:38:09Z,theories of text,Additive number theory,0.9032258064516129,17
5,14,Category:The Juliana Theory members,59273456,506,10,"Members <span class=""searchmatch"">of</span> the American alternative rock band The Juliana <span class=""searchmatch"">Theory</span>.",2021-11-09T01:02:16Z,theories of text,The Juliana Theory members,0.9428571428571428,19
8,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to Literary <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theories of text,Literary theory,0.875,14
9,14,Category:Disciples of Gautama Buddha,32322574,203,0,"Songtsen Gampo Emperor Wen <span class=""searchmatch"">of</span> Sui Dalai Lama Panchen Lama Karmapa Shamarpa Naropa Xuanzang Zhiyi <span class=""searchmatch"">Texts</span> Early Buddhist <span class=""searchmatch"">Texts</span> Tripiṭaka Mahayana sutras Pāli",2021-04-18T09:54:38Z,theories of text,Disciples of Gautama Buddha,0.8857142857142857,20
0,14,Category:Essays in literary theory,17611284,126,4,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,theory of ' literary,Essays in literary theory,0.5862068965517242,17
1,14,Category:Literary criticism,733855,671,62,"to <span class=""searchmatch"">literary</span> criticism, the study, evaluation, and interpretation <span class=""searchmatch"">of</span> literature. Modern <span class=""searchmatch"">literary</span> criticism is often influenced by <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>, which",2021-01-05T12:52:22Z,theory of ' literary,Literary criticism,0.7857142857142857,16
2,14,Category:Books of literary criticism,31955243,227,11,"Category:Essays in <span class=""searchmatch"">literary</span> criticism Category:Books about <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span> Category:Works about writers",2018-07-09T08:12:58Z,theory of ' literary,Books of literary criticism,0.696969696969697,17
3,14,Category:Essays in literary criticism,17724904,190,8,"Category:Books <span class=""searchmatch"">of</span> <span class=""searchmatch"">literary</span> criticism Category:Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>",2021-04-17T17:42:50Z,theory of ' literary,Essays in literary criticism,0.7777777777777778,20
4,14,Category:Postmodern theory,704758,972,82,"for skeptical interpretations <span class=""searchmatch"">of</span> culture, literature, art, philosophy, economics, architecture, fiction, and <span class=""searchmatch"">literary</span> criticism. It is often associated",2021-01-08T11:16:04Z,theory of ' literary,Postmodern theory,0.8620689655172413,15
7,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of ' literary,Literary theory,0.5238095238095238,15
8,14,Category:Terms in literary theory,17707884,62,0,NA,2016-09-25T18:57:42Z,theory of ' literary,Terms in literary theory,0.5714285714285714,16
9,14,Category:Books about literary theory,31955254,178,0,NA,2018-07-09T08:13:05Z,theory of ' literary,Books about literary theory,0.6129032258064516,17
0,14,Category:Grammar frameworks,1761683,213,11,"These <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">grammar</span> are used to describe natural (human) languages.",2017-02-23T20:36:00Z,theory of grammar,Grammar frameworks,0.8461538461538461,15
0,14,Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21
1,14,Category:Information theory,694025,597,43,"Articles relating to information <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and <span class=""searchmatch"">communication</span> <span class=""searchmatch"">of</span> information. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theory of communication,Information theory,0.7666666666666666,19
3,14,Category:Social constructionism,4228486,836,54,"constructionism, a <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> knowledge in sociology and <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span> that examines the development <span class=""searchmatch"">of</span> jointly-constructed understandings <span class=""searchmatch"">of</span> the world that",2021-09-27T08:07:59Z,theory of communication,Social constructionism,0.9210526315789473,17
4,14,Category:Communication theory,1527661,260,29,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-04-25T16:42:54Z,theory of communication,Communication theory,0.43999999999999995,18
5,14,Category:Philosophy of language,744038,730,73,"truth, thought and experience (to the extent that both are linguistic), <span class=""searchmatch"">communication</span>, interpretation, and translation. Top 0–9 A B C D E F G H I J K L M",2020-04-25T17:59:38Z,theory of communication,Philosophy of language,0.9210526315789473,18
7,14,Category:Interpersonal communication,34562178,163,0,NA,2016-09-12T20:16:31Z,theory of communication,Interpersonal communication,0.6470588235294117,11
9,14,Category:Radio electronics,1474255,1290,160,"pieces <span class=""searchmatch"">of</span> equipment used in radio communications networks, consider Category:Wireless. For example, articles about blocking and traffic <span class=""searchmatch"">theory</span> used in",2021-09-03T22:26:26Z,theory of communication,Radio electronics,0.9714285714285714,18
1,14,Category:Social learning theory,16162632,483,50,"Social learning <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,theory of human,Social learning theory,0.8620689655172413,18
3,14,Category:Solar System dynamic theories,10772136,425,44,"<span class=""searchmatch"">theories</span> about Solar System bodies, their formation, and other important, mostly cataclysmic, events that deeply affected the orbits and surfaces <span class=""searchmatch"">of</span> the",2020-12-24T01:04:44Z,theory of human,Solar System dynamic theories,0.9189189189189189,24
0,14,Category:Meaning–text theory,34757602,189,24,"Meaning–<span class=""searchmatch"">text</span> <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theory of texts,Meaning–text theory,0.75,16
3,14,Category:Additive number theory,20902687,221,17,"Additive number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that studies ways to represent numbers as sums.",2013-03-27T04:38:09Z,theory of texts,Additive number theory,0.8620689655172413,17
4,14,Category:The Juliana Theory members,59273456,506,10,"Members <span class=""searchmatch"">of</span> the American alternative rock band The Juliana <span class=""searchmatch"">Theory</span>.",2021-11-09T01:02:16Z,theory of texts,The Juliana Theory members,0.875,19
7,14,Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to Literary <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of texts,Literary theory,0.7619047619047619,12
8,14,Category:Disciples of Gautama Buddha,32322574,203,0,"Songtsen Gampo Emperor Wen <span class=""searchmatch"">of</span> Sui Dalai Lama Panchen Lama Karmapa Shamarpa Naropa Xuanzang Zhiyi <span class=""searchmatch"">Texts</span> Early Buddhist <span class=""searchmatch"">Texts</span> Tripiṭaka Mahayana sutras Pāli",2021-04-18T09:54:38Z,theory of texts,Disciples of Gautama Buddha,0.9444444444444444,22
2,14,Category:Applied mathematics,966983,943,107,"Applied mathematics is a branch <span class=""searchmatch"">of</span> mathematics that concerns itself with the application <span class=""searchmatch"">of</span> mathematical <span class=""searchmatch"">knowledge</span> to other domains. Such applications",2020-05-11T18:04:38Z,theories of knowledge,Applied mathematics,0.9705882352941176,18
6,14,Category:Learning theory (education),16163925,372,25,"education, learning <span class=""searchmatch"">theories</span> are attempts to describe how people and animals learn, thereby helping us understand the inherently complex process <span class=""searchmatch"">of</span> learning.",2021-09-27T07:39:41Z,theories of knowledge,Learning theory (education),0.926829268292683,22
